URL_ID,positive_score,negative_score,polarity_score,total_words,subjectivity_score,number of sentence,average sentence length,complex_word_per_sentence,percentage of complex words,fog index,personal_pronouns,count_alphabets_per_sentence,average_word_length
blackassign0001,28,6,0.647058804,488,0.069672131,79,6.17721519,112,0.229508197,2.562689355,6,3365,6.895491803
blackassign0002,52,31,0.253012045,692,0.119942196,82,8.43902439,231,0.333815029,3.509135768,3,5336,7.710982659
blackassign0003,38,25,0.206349203,616,0.102272727,57,10.80701754,243,0.394480519,4.480599225,13,5072,8.233766234
blackassign0004,36,74,-0.345454542,591,0.186125211,52,11.36538462,232,0.392554992,4.703175843,4,4812,8.14213198
blackassign0005,23,9,0.437499986,343,0.09329446,40,8.575,93,0.271137026,3.53845481,6,2638,7.690962099
blackassign0006,89,27,0.534482754,1021,0.113614104,90,11.34444444,347,0.33986288,4.67372293,6,8334,8.1625857
blackassign0007,29,65,-0.382978719,659,0.142640364,78,8.448717949,196,0.297420334,3.498455313,1,4812,7.301972686
blackassign0008,27,9,0.499999986,459,0.078431372,49,9.367346939,185,0.403050109,3.908158819,3,3798,8.274509804
blackassign0009,37,53,-0.177777776,575,0.156521739,57,10.0877193,222,0.386086957,4.189522502,2,4783,8.31826087
blackassign0010,128,187,-0.187301587,1685,0.18694362,240,7.020833333,577,0.342433234,2.945306627,13,13527,8.027893175
blackassign0011,57,20,0.480519474,772,0.099740933,67,11.52238806,307,0.397668394,4.768022581,2,6193,8.022020725
blackassign0012,77,23,0.539999995,834,0.119904077,87,9.586206897,282,0.338129496,3.969734557,2,6545,7.847721823
blackassign0013,38,13,0.490196069,277,0.184115523,25,11.08,104,0.375451264,4.582180505,3,2259,8.155234657
blackassign0014,19,27,-0.17391304,507,0.090729783,74,6.851351351,142,0.280078895,2.852572099,3,3784,7.463510848
blackassign0015,35,27,0.129032256,628,0.098726114,59,10.6440678,190,0.302547771,4.378646227,6,4703,7.488853503
blackassign0016,35,27,0.129032256,628,0.098726114,59,10.6440678,190,0.302547771,4.378646227,6,4703,7.488853503
blackassign0017,47,11,0.620689644,579,0.100172711,67,8.641791045,188,0.324697755,3.58659552,5,4329,7.476683938
blackassign0018,34,10,0.545454533,546,0.08058608,50,10.92,184,0.336996337,4.502798535,1,4211,7.712454212
blackassign0019,57,6,0.809523797,822,0.076642336,96,8.5625,309,0.375912409,3.575364964,4,6324,7.693430657
blackassign0020,8,0,0.999999875,204,0.039215686,30,6.8,46,0.225490196,2.810196078,1,1531,7.504901961
blackassign0021,24,47,-0.323943657,515,0.137864077,51,10.09803922,187,0.363106796,4.184458405,6,3918,7.60776699
blackassign0022,13,10,0.130434777,172,0.133720929,28,6.142857143,49,0.284883721,2.571096346,4,1265,7.354651163
blackassign0023,28,15,0.302325574,573,0.07504363,64,8.953125,155,0.270506108,3.689452443,7,4125,7.19895288
blackassign0024,23,3,0.76923074,265,0.098113207,24,11.04166667,82,0.309433962,4.540440252,1,1933,7.294339623
blackassign0025,14,11,0.119999995,419,0.059665871,40,10.475,97,0.23150358,4.282601432,4,2824,6.739856802
blackassign0026,21,15,0.166666662,439,0.082004556,49,8.959183673,132,0.300683371,3.703946818,1,3135,7.141230068
blackassign0027,27,29,-0.035714285,514,0.108949416,55,9.345454545,118,0.229571984,3.830010612,19,3458,6.727626459
blackassign0028,29,25,0.074074073,523,0.103250478,46,11.36956522,154,0.294455067,4.665608114,7,3904,7.464627151
blackassign0029,64,34,0.306122446,1004,0.097609562,78,12.87179487,318,0.316733068,5.275411176,1,7456,7.426294821
blackassign0030,59,37,0.229166664,593,0.161888701,71,8.352112676,140,0.23608769,3.435280146,6,4066,6.856661046
blackassign0031,64,35,0.29292929,842,0.117577197,85,9.905882353,272,0.32304038,4.091569093,2,6429,7.635391924
blackassign0032,67,28,0.410526311,662,0.143504532,83,7.975903614,181,0.273413897,3.299727005,17,4578,6.915407855
blackassign0033,59,26,0.38823529,772,0.110103627,82,9.414634146,230,0.297927461,3.885024643,12,5648,7.316062176
blackassign0034,44,25,0.275362315,560,0.123214285,59,9.491525424,155,0.276785714,3.907324455,18,4052,7.235714286
blackassign0035,22,12,0.294117638,334,0.101796407,46,7.260869565,78,0.233532934,2.997761,7,2354,7.047904192
blackassign0037,33,13,0.434782599,315,0.146031746,36,8.75,73,0.231746032,3.592698413,2,2160,6.857142857
blackassign0038,65,41,0.226415092,979,0.108273749,86,11.38372093,274,0.279877426,4.665439342,9,6726,6.870275792
blackassign0039,48,58,-0.094339622,951,0.111461619,115,8.269565217,242,0.25446898,3.409613679,1,6713,7.058885384
blackassign0040,33,23,0.178571425,587,0.095400341,55,10.67272727,215,0.366269165,4.415598575,8,4611,7.855195911
blackassign0041,33,29,0.064516128,597,0.103852596,74,8.067567568,161,0.269681742,3.334899724,6,4058,6.797319933
blackassign0042,64,24,0.454545449,668,0.131736527,79,8.455696203,197,0.29491018,3.500242553,33,4910,7.350299401
blackassign0043,70,25,0.473684206,766,0.124020888,83,9.228915663,210,0.274151436,3.801226839,11,5376,7.018276762
blackassign0044,26,0,0.999999962,266,0.097744361,22,12.09090909,86,0.323308271,4.965686945,0,1969,7.402255639
blackassign0045,76,39,0.321739128,714,0.161064426,8,89.25,193,0.270308123,35.80812325,15,4975,6.967787115
blackassign0046,24,0,0.999999958,445,0.053932584,56,7.946428571,140,0.314606742,3.304414125,0,3300,7.415730337
blackassign0047,15,5,0.499999975,362,0.055248619,42,8.619047619,128,0.35359116,3.589055512,0,2829,7.814917127
blackassign0048,3,4,-0.142857122,139,0.050359712,13,10.69230769,38,0.273381295,4.386275595,2,1051,7.561151079
blackassign0050,24,69,-0.483870963,646,0.143962848,58,11.13793103,164,0.253869969,4.556720401,2,4576,7.083591331
blackassign0051,17,14,0.09677419,319,0.097178683,32,9.96875,93,0.29153605,4.10411442,3,2212,6.934169279
